1|3|2|"select cod_funcao, nome_funcao from funcao natural join detalhamento_funcao where cod_subfuncao in (select cod_subfuncao from (select cod_subfuncao, max(c) from (select cod_subfuncao, count(cod_funcao) as c from funcao natural join detalhamento_funcao group by cod_subfuncao)))"
5|5|3|"select cod_orgao, nome_orgao, sum(valor_despesa) from despesa_publica natural join orgao natural join (select cod_detalhamento from detalhamento_funcao where cod_funcao in (select cod_funcao from funcao where nome_funcao IN ('Saúde', 'Educação'))) where ano_despesa = '2018' group by cod_orgao order by sum(valor_despesa) desc LIMIT 5"
6|35|3|"select nome_funcao, nome_subfuncao, sum(valor_despesa) s from despesa_publica natural join detalhamento_funcao natural join funcao natural join subfuncao where mes_despesa > 7 and ano_despesa = 2018 group by nome_funcao, nome_subfuncao order by s desc"
7|7|2|"select distinct nome_programa_governo, count(cod_orgao) from programa_governo natural join (select * from despesa_publica where valor_despesa > 0) group by nome_programa_governo"
8|5|4|"select nome_orgao, nome_subfuncao, qtd_despesas, valor_total_despesas from orgao natural join (select count(cod_despesa) as qtd_despesas, sum(valor_despesa) as valor_total_despesas, cod_orgao, cod_detalhamento from despesa_publica group by cod_orgao having valor_total_despesas > 10000) natural join detalhamento_funcao natural join subfuncao"
10|381|4|"select cod_despesa, mes_despesa, ano_despesa, valor_despesa from despesa_publica where cod_programa_governo in (select cod_programa_governo from (select cod_programa_governo, max(s) from (select cod_programa_governo, sum(valor_despesa) as s from despesa_publica where ano_despesa = 2018 group by cod_programa_governo))) order by valor_despesa desc"
12|37|2|"SELECT DISTINCT nome_funcao, valor_despesa FROM FUNCAO NATURAL JOIN DETALHAMENTO_FUNCAO NATURAL JOIN DESPESA_PUBLICA"
13|32|3|"SELECT DISTINCT modalidade_despesa, valor_despesa, nome_orgao FROM ORGAO NATURAL JOIN (SELECT * FROM DESPESA_PUBLICA WHERE modalidade_despesa LIKE 'Reserva de Contingência')"
14|3|2|"SELECT DISTINCT valor_despesa, nome_programa_governo FROM DESPESA_PUBLICA NATURAL JOIN (SELECT * FROM PROGRAMA_GOVERNO WHERE nome_programa_governo LIKE 'ENEM')"
15|26|3|"SELECT DISTINCT nome_programa_governo, qtd_orgaos_subordinados, valor_despesa FROM DESPESA_PUBLICA NATURAL JOIN (SELECT * FROM ORGAO WHERE nome_orgao LIKE 'Ministério da Educação') NATURAL JOIN PROGRAMA_GOVERNO"
